Date,10T Steam,Packaging,TCW-03 & HG080,Man. & Admin,VG010/020 Humidifiers,VG010/020 PreHeat,QC Lab 2 & SBP,Process Line 1,Process Line 2,PUW MP015,PUW MP014,HDD 15.5
2025-01-01,0.0,0,0,24570,7557,0,4836,0,0,0,0,10.3
2025-01-02,0.0,0,1403,32717,11105,0,5961,1313,0,547,0,13.6
2025-01-03,0.0,0,2455,33313,12365,0,6885,3498,0,540,0,14.7
2025-01-04,0.0,0,813,30731,10525,0,6329,106,0,0,0,13.2
2025-01-05,0.0,0,0,29039,10290,0,6371,107,0,0,0,14.6
2025-01-06,0.0,0,424,32015,11544,0,6369,2027,0,294,0,14.2
2025-01-07,0.0,0,1192,34371,11874,0,6477,1259,0,323,0,14.1
2025-01-08,0.0,0,1665,33901,12185,0,6768,762,0,470,0,15.4
2025-01-09,0.0,0,2631,33875,12267,0,7378,152,0,717,0,15.5
2025-01-10,0.0,0,651,28979,6473,0,4932,261,0,765,0,9.9
2025-01-11,0.0,0,264,28323,5950,0,4487,103,0,118,0,8.6
2025-01-12,0.0,0,79,25173,3574,0,4098,225,0,230,0,6.9
2025-01-13,0.0,0,274,22015,444,0,2863,517,0,739,0,5.3
2025-01-14,0.0,80,108,22083,575,0,2959,1050,0,745,0,5.4
2025-01-15,0.0,678,309,25454,3412,0,3497,411,0,0,0,7.1
2025-01-16,0.0,4633,58,24664,4382,0,3518,276,0,0,0,6.4
2025-01-17,0.0,7065,242,23956,4613,0,3439,204,0,0,0,6.6
2025-01-18,0.0,0,189,23648,4782,0,3472,139,0,0,0,6.4
2025-01-19,0.0,0,151,23043,3009,0,3426,834,0,0,0,6.6
2025-01-20,0.0,896,275,24013,2197,0,3362,2475,0,0,0,7.1
2025-01-21,0.0,3830,354,27045,5826,0,4329,2217,0,0,0,8.9
2025-01-22,0.0,4788,449,28276,7639,0,4983,2435,0,0,0,10.6
2025-01-23,0.0,4809,80,26240,7877,0,4639,2620,0,0,0,9.1
2025-01-24,0.0,9768,278,26012,10659,0,5308,2336,0,0,0,10.4
2025-01-25,0.0,8698,863,31986,10841,0,6658,125,0,0,0,14.0
2025-01-26,0.0,8512,13,24475,6744,0,4858,98,0,0,0,9.4
2025-01-27,0.0,7580,337,23938,4444,0,4132,1009,0,0,0,8.8
2025-01-28,0.0,2648,311,24823,5538,0,4287,1354,0,0,0,8.8
2025-01-29,0.0,7116,40,27990,8418,0,5433,4473,0,0,0,11.4
2025-01-30,0.0,8714,276,28555,7835,0,5387,3848,0,0,0,10.4
2025-01-31,0.0,8199,301,26461,6253,0,4628,4021,0,0,0,9.3
2025-02-01,0.0,5844,102,22560,2348,0,3780,842,0,0,0,7.1
2025-02-02,0.0,6630,94,22593,5458,0,4242,524,0,0,0,8.3
2025-02-03,0.0,5662,0,20628,1844,0,3401,391,0,0,0,6.1
